Title (w/ year),Country,Language,Release_Date
The King of Staten Island (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Infamous (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Artemis Fowl (2020) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Gulabo Sitabo (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 12 June 2020 (USA)
    
See more »
    
"
Chintu Ka Birthday (2020) ,"
Country:
India
","
Language:
Hindi
|
English
|
Arabic
","
Release Date: 5 June 2020 (India)
    
See more »
    
"
The Last Days of American Crime (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Choked (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Becky (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Dating Amber (2020) ,"
Country:
Ireland
", ~data not found~ ,"
Release Date: 4 June 2020 (Ireland)
    
See more »
    
"
The High Note (2020) ,"
Country:
USA
|
UK
|
China
","
Language:
English
","
Release Date: 29 May 2020 (USA)
    
See more »
    
"
Gabriel's Inferno (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 29 May 2020 (USA)
    
See more »
    
"
Ponmagal Vandhal (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 29 May 2020 (USA)
    
See more »
    
"
The Dinner Party (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 June 2020 (USA)
    
See more »
    
"
Intuition (2020) ,"
Country:
Argentina
","
Language:
Spanish
","
Release Date: 28 May 2020 (USA)
    
See more »
    
"
The Lovebirds (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Inheritance (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Ghoomketu (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 22 May 2020 (India)
    
See more »
    
"
Survive the Night (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Last Moment of Clarity (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 May 2020 (USA)
    
See more »
    
"
Proximity (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 15 May 2020 (USA)
    
See more »
    
"
Scoob! (2020) ,"
Country:
USA
|
Canada
","
Language:
English
","
Release Date: 15 May 2020 (USA)
    
See more »
    
"
The Wrong Missy (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 May 2020 (USA)
    
See more »
    
"
Capone (2020) ,"
Country:
Canada
|
USA
","
Language:
English
|
Polish
","
Release Date: 12 May 2020 (USA)
    
See more »
    
"
Choke (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 10 May 2020 (USA)
    
See more »
    
"
Valley Girl (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 May 2020 (USA)
    
See more »
    
"
Arkansas (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 May 2020 (USA)
    
See more »
    
"
The Half of It (2020) ,"
Country:
USA
","
Language:
Spanish
|
Hindi
|
English
|
Mandarin
|
French
","
Release Date: 1 May 2020 (USA)
    
See more »
    
"
All Day and a Night (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 May 2020 (USA)
    
See more »
    
"
Mrs. Serial Killer (2020) ,"
Country:
India
","
Language:
Hindi
|
English
","
Release Date: 1 May 2020 (USA)
    
See more »
    
"
Ricos de Amor (2020) ,"
Country:
Brazil
","
Language:
English
|
Portuguese
","
Release Date: 30 April 2020 (Brazil)
    
See more »
    
"
Dangerous Lies (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 April 2020 (USA)
    
See more »
    
"
Extraction (2020) ,"
Country:
USA
","
Language:
English
|
Hindi
|
Bengali
","
Release Date: 24 April 2020 (USA)
    
See more »
    
"
The Willoughbys (2020) ,"
Country:
Canada
|
USA
|
UK
","
Language:
English
","
Release Date: 22 April 2020 (USA)
    
See more »
    
"
Nathan's Kingdom (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 April 2020 (USA)
    
See more »
    
"
Rising High (2020) ,"
Country:
Germany
","
Language:
German
|
English
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Bad Trip (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
The Quarry (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 2020 (Poland)
    
See more »
    
"
Earth and Blood (2020) ,"
Country:
France
|
Belgium
","
Language:
French
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Sputnik (2020) ,"
Country:
Russia
","
Language:
Russian
","
Release Date: 24 July 2020 (Estonia)
    
See more »
    
"
Nobody Knows I'm Here (2020) ,"
Country:
Chile
","
Language:
Spanish
|
English
","
Release Date: 24 June 2020 (USA)
    
See more »
    
"
Light from the Tower (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 April 2020 (USA)
    
See more »
    
"
Mortal Kombat Legends: Scorpion's Revenge (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 April 2020 (USA)
    
See more »
    
"
Tigertail (2020) ,"
Country:
USA
","
Language:
English
|
Min Nan
|
Mandarin
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Love Wedding Repeat (2020) ,"
Country:
UK
|
Italy
","
Language:
English
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Bamfaad (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 10 April 2020 (India)
    
See more »
    
"
The Main Event (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Axcellerator (2020) ,"
Country:
USA
", ~data not found~ ,"
Release Date: 8 April 2020 (USA)
    
See more »
    
"
Coffee & Kareem (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 April 2020 (USA)
    
See more »
    
"
Shooting Heroin (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 April 2020 (USA)
    
See more »
    
"
Uncorked (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 March 2020 (USA)
    
See more »
    
"
Body Cam (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 2020 (UK)
    
See more »
    
"
Maska (2020) ,"
Country:
India
","
Language:
English
|
Hindi
|
Parsee
","
Release Date: 30 March 2020 (India)
    
See more »
    
"
The Occupant (2020) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 25 March 2020 (USA)
    
See more »
    
"
Nobody Sleeps in the Woods Tonight (2020) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 20 March 2020 (Poland)
    
See more »
    
"
Altered Carbon: Resleeved (2020) ,"
Country:
Japan
|
USA
","
Language:
Japanese
","
Release Date: 19 March 2020 (USA)
    
See more »
    
"
Stargirl (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Postcard Killings (2020) ,"
Country:
UK
|
USA
","
Language:
English
|
Swedish
|
Russian
|
German
|
French
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Trolls World Tour (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
I Still Believe (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Angrezi Medium (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Hunt (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Ultras (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 9 March 2020 (Italy)
    
See more »
    
"
Resistance (2020) ,"
Country:
UK
|
France
|
Germany
|
USA
","
Language:
English
","
Release Date: 27 March 2020 (USA)
    
See more »
    
"
Spenser Confidential (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Baaghi 3 (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
The Banker (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 March 2020 (USA)
    
See more »
    
"
Kappela (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
Guilty (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 6 March 2020 (India)
    
See more »
    
"
The Hater (2020) ,"
Country:
Poland
","
Language:
Polish
|
English
","
Release Date: 29 July 2020 (USA)
    
See more »
    
"
The Way Back (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Die Känguru-Chroniken (2020) ,"
Country:
Germany
","
Language:
German
|
English
","
Release Date: 5 March 2020 (Germany)
    
See more »
    
"
Bloodshot (2020) ,"
Country:
USA
|
China
","
Language:
English
|
Persian
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Trip to Greece (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 May 2020 (USA)
    
See more »
    
"
Escape from Pretoria (2020) ,"
Country:
UK
|
Australia
|
USA
|
South Africa
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Kannum Kannum Kollaiyadithaal (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
All the Bright Places (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Draupathi (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 28 February 2020 (India)
    
See more »
    
"
Hit (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Doordarshan (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Thappad (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Forensic (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
The Decline (2020) ,"
Country:
Canada
","
Language:
French
","
Release Date: 27 March 2020 (USA)
    
See more »
    
"
Favolacce (2020) ,"
Country:
Italy
|
Switzerland
","
Language:
Italian
","
Release Date: 15 June 2020 (Italy)
    
See more »
    
"
The Invisible Man (2020) ,"
Country:
Canada
|
Australia
|
USA
","
Language:
English
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Time to Hunt (2020) ,"
Country:
South Korea
","
Language:
Korean
","
Release Date: 10 April 2020 (USA)
    
See more »
    
"
Impractical Jokers: The Movie (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 2020 (USA)
    
See more »
    
"
Onward (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Bheeshma (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Miami Bici (2020) ,"
Country:
Romania
","
Language:
Romanian
|
English
|
Spanish
|
French
","
Release Date: 21 February 2020 (Romania)
    
See more »
    
"
Mafia: Chapter 1 (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Bhoot: Part One - The Haunted Ship (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Shubh Mangal Zyada Saavdhan (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Trance (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Bayi Toplantisi (2020) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 21 February 2020 (Turkey)
    
See more »
    
"
Brahms: The Boy II (2020) ,"
Country:
USA
|
China
|
Canada
|
Australia
","
Language:
English
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
The Night Clerk (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
The Call of the Wild (2020) ,"
Country:
USA
|
Canada
","
Language:
English
|
French
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
Isi & Ossi (2020) ,"
Country:
Germany
","
Language:
German
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
The Photograph (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Spy Intervention (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Sufna (2020) ,"
Country:
India
","
Language:
Punjabi
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Oh My Kadavule (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Zenek (2020) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 14 February 2020 (Poland)
    
See more »
    
"
Emma. (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
World Famous Lover (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
To All the Boys: P.S. I Still Love You (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 February 2020 (USA)
    
See more »
    
"
Love Aaj Kal (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Fantasy Island (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Malang (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Ayyappanum Koshiyum (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Dia (2020) ,"
Country:
India
","
Language:
Kannada
","
Release Date: 7 February 2020 (India)
    
See more »
    
"
Shikara (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
365 Days (2020) ,"
Country:
Poland
","
Language:
Polish
|
English
|
Italian
","
Release Date: 7 February 2020 (Poland)
    
See more »
    
"
Varane Avashyamund (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Cupid (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 February 2020 (USA)
    
See more »
    
"
Adu (2020) ,"
Country:
Spain
","
Language:
French
|
English
|
Spanish
","
Release Date: 30 June 2020 (USA)
    
See more »
    
"
Jawaani Jaaneman (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Love Mocktail (2020) ,"
Country:
India
","
Language:
Kannada
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Gretel & Hansel (2020) ,"
Country:
Canada
|
USA
|
Ireland
|
South Africa
","
Language:
English
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Eltilerin Savasi (2020) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 31 January 2020 (Turkey)
    
See more »
    
"
Kartoffelsalat 3 - Das Musical (2020) ,"
Country:
Germany
","
Language:
German
","
Release Date: 30 January 2020 (Germany)
    
See more »
    
"
Klovn the Final (2020) ,"
Country:
Denmark
","
Language:
Danish
","
Release Date: 30 January 2020 (Denmark)
    
See more »
    
"
I Hate Summer (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 30 January 2020 (Italy)
    
See more »
    
"
Sergio (2020) ,"
Country:
USA
","
Language:
English
|
Portuguese
|
Spanish
|
French
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Lost Girls (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 2020 (USA)
    
See more »
    
"
The Last Thing He Wanted (2020) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 21 February 2020 (USA)
    
See more »
    
"
The Rhythm Section (2020) ,"
Country:
UK
|
USA
|
Spain
","
Language:
English
|
French
","
Release Date: 31 January 2020 (USA)
    
See more »
    
"
Horse Girl (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
The Windermere Children (2020) ,"
Country:
Germany
|
UK
","
Language:
English
","
Release Date: 5 April 2020 (USA)
    
See more »
    
"
Palm Springs (2020) ,"
Country:
USA
|
Hong Kong
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Downhill (2020) ,"
Country:
USA
","
Language:
English
|
German
|
Italian
|
Hindi
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
Wendy (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Relic (2020) ,"
Country:
Australia
|
USA
","
Language:
English
","
Release Date: 10 July 2020 (USA)
    
See more »
    
"
Shirley (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 June 2020 (USA)
    
See more »
    
"
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,"
Country:
USA
","
Language:
English
|
Chinese
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Timmy Failure: Mistakes Were Made (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 February 2020 (USA)
    
See more »
    
"
Possessor (2020) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: 25 January 2020 (USA)
    
See more »
    
"
Sonic the Hedgehog (2020) ,"
Country:
USA
|
Japan
|
Canada
","
Language:
English
|
French
","
Release Date: 14 February 2020 (USA)
    
See more »
    
"
"Te quiero, imbécil (2020) ","
Country:
Spain
","
Language:
Spanish
","
Release Date: 24 January 2020 (Spain)
    
See more »
    
"
Psycho (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Panga (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Cindy La Regia (2020) ,"
Country:
Mexico
","
Language:
Spanish
","
Release Date: 24 January 2020 (Mexico)
    
See more »
    
"
John Henry (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Never Rarely Sometimes Always (2020) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 3 April 2020 (USA)
    
See more »
    
"
Street Dancer 3D (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
The Turning (2020) ,"
Country:
UK
|
Ireland
|
Canada
|
USA
|
India
","
Language:
English
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Dwitiyo Purush (2020) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 6 March 2020 (USA)
    
See more »
    
"
Airplane Mode (2020) ,"
Country:
Brazil
|
Mexico
","
Language:
Portuguese
","
Release Date: 23 January 2020 (Brazil)
    
See more »
    
"
Shylock (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 24 January 2020 (USA)
    
See more »
    
"
Karakomik Filmler: Deli (2020) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 17 January 2020 (Turkey)
    
See more »
    
"
A Fall from Grace (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 January 2020 (USA)
    
See more »
    
"
Karakomik Filmler: Emanet (2020) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 17 January 2020 (Turkey)
    
See more »
    
"
Go Karts (2020) ,"
Country:
Australia
","
Language:
English
","
Release Date: 16 January 2020 (Australia)
    
See more »
    
"
Malasaña 32 (2020) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 17 January 2020 (Spain)
    
See more »
    
"
The Heist of the Century (2020) ,"
Country:
Argentina
","
Language:
Spanish
","
Release Date: 16 January 2020 (Argentina)
    
See more »
    
"
Chhapaak (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 10 January 2020 (USA)
    
See more »
    
"
Ala Vaikunthapurramuloo (2020) ,"
Country:
India
","
Language:
Telugu
|
Malayalam
","
Release Date: 11 January 2020 (USA)
    
See more »
    
"
Sarileru Neekevvaru (2020) ,"
Country:
India
","
Language:
Telugu
","
Release Date: 10 January 2020 (USA)
    
See more »
    
"
Anjaam Pathiraa (2020) ,"
Country:
India
","
Language:
Malayalam
","
Release Date: 17 January 2020 (USA)
    
See more »
    
"
Biz Böyleyiz (2020) ,"
Country:
Turkey
", ~data not found~ ,"
Release Date: 10 January 2020 (Turkey)
    
See more »
    
"
My Spy (2020) ,"
Country:
USA
","
Language:
English
|
French
|
Russian
","
Release Date: 26 June 2020 (USA)
    
See more »
    
"
Tanhaji: The Unsung Warrior (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 10 January 2020 (USA)
    
See more »
    
"
Masameer the Movie (2020) ,"
Country:
Saudi Arabia
","
Language:
Arabic
","
Release Date: 9 January 2020 (Saudi Arabia)
    
See more »
    
"
Darbar (2020) ,"
Country:
India
","
Language:
Tamil
","
Release Date: 8 January 2020 (USA)
    
See more »
    
"
Like a Boss (2020) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
|
Russian
","
Release Date: 10 January 2020 (USA)
    
See more »
    
"
Underwater (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 January 2020 (USA)
    
See more »
    
"
Bad Boys For Life (2020) ,"
Country:
USA
|
Mexico
","
Language:
English
|
Spanish
","
Release Date: 17 January 2020 (USA)
    
See more »
    
"
Miss Fisher and the Crypt of Tears (2020) ,"
Country:
Australia
","
Language:
English
","
Release Date: 27 February 2020 (Australia)
    
See more »
    
"
Inmate Zero (2020) ,"
Country:
UK
","
Language:
English
","
Release Date: 3 January 2020 (USA)
    
See more »
    
"
Mark of the Devil (2020) ,"
Country:
Mexico
","
Language:
Spanish
","
Release Date: 3 January 2020 (Mexico)
    
See more »
    
"
Disturbing the Peace (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 January 2020 (USA)
    
See more »
    
"
18 Presents (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 8 May 2020 (USA)
    
See more »
    
"
Invasion (2020) ,"
Country:
Russia
","
Language:
Russian
|
English
","
Release Date: 9 February 2020 (USA)
    
See more »
    
"
Dolittle (2020) ,"
Country:
USA
|
China
|
UK
|
Japan
","
Language:
English
|
French
","
Release Date: 17 January 2020 (USA)
    
See more »
    
"
The Grudge (2020) ,"
Country:
USA
|
Canada
","
Language:
English
","
Release Date: 3 January 2020 (USA)
    
See more »
    
"
Tolo Tolo (2020) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1 January 2020 (Italy)
    
See more »
    
"
Ghost Stories (2020) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 1 January 2020 (USA)
    
See more »
    
"
