Title (w/ year),Country,Language,Release_Date
Five Evenings (1979) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: November 1979 (USA)
    
See more »
    
"
Zulu Dawn (1979) ,"
Country:
Netherlands
|
USA
","
Language:
English
|
Zulu
","
Release Date: 15 May 1979 (USA)
    
See more »
    
"
Quadrophenia (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 November 1979 (USA)
    
See more »
    
"
The Third Generation (1979) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: 9 September 1980 (USA)
    
See more »
    
"
Winter Kills (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 May 1979 (USA)
    
See more »
    
"
The Killer Nun (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 10 May 1979 (Italy)
    
See more »
    
"
Last Embrace (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 May 1979 (USA)
    
See more »
    
"
The Tin Drum (1979) ,"
Country:
West Germany
|
France
|
Poland
|
Yugoslavia
","
Language:
German
|
Italian
|
Hebrew
|
Polish
|
Russian
|
Latin
","
Release Date: 11 April 1980 (USA)
    
See more »
    
"
Beneath the Valley of the Ultra-Vixens (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: April 1979 (USA)
    
See more »
    
"
Saint Jack (1979) ,"
Country:
USA
","
Language:
English
|
Cantonese
|
Dutch
|
French
|
Italian
","
Release Date: 5 December 1979 (France)
    
See more »
    
"
A Little Romance (1979) ,"
Country:
France
|
USA
","
Language:
English
|
French
|
Italian
","
Release Date: 27 April 1979 (USA)
    
See more »
    
"
The Dark (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 April 1979 (USA)
    
See more »
    
"
Série noire (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 25 April 1979 (France)
    
See more »
    
"
Long quan (1979) ,"
Country:
Hong Kong
|
Taiwan
","
Language:
Cantonese
|
Mandarin
|
English
","
Release Date: 21 April 1979 (Hong Kong)
    
See more »
    
"
Vengeance Is Mine (1979) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 17 October 1979 (USA)
    
See more »
    
"
Rock 'n' Roll High School (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1982 (Italy)
    
See more »
    
"
Gol Maal (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 20 April 1979 (India)
    
See more »
    
"
Manhattan (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 April 1979 (USA)
    
See more »
    
"
Baton Baton Mein (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 13 April 1979 (India)
    
See more »
    
"
Love at First Bite (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 April 1979 (USA)
    
See more »
    
"
Za jia xiao zi (1979) ,"
Country:
Hong Kong
","
Language:
Cantonese
","
Release Date: 12 April 1979 (Hong Kong)
    
See more »
    
"
Mad Max (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 21 March 1980 (USA)
    
See more »
    
"
Panny z Wilka (1979) ,"
Country:
Poland
|
France
","
Language:
Polish
|
French
","
Release Date: 30 May 1979 (France)
    
See more »
    
"
Buck Rogers in the 25th Century (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 March 1979 (USA)
    
See more »
    
"
Flic ou voyou (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 28 March 1979 (France)
    
See more »
    
"
The Visitor (1979) ,"
Country:
Italy
","
Language:
English
","
Release Date: 21 November 1980 (USA)
    
See more »
    
"
The Champ (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 April 1979 (USA)
    
See more »
    
"
Fast Company (1979) ,"
Country:
Canada
","
Language:
English
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
The Riddle of the Sands (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 16 March 1979 (UK)
    
See more »
    
"
Hair (1979) ,"
Country:
USA
|
West Germany
","
Language:
English
","
Release Date: 15 March 1979 (USA)
    
See more »
    
"
The China Syndrome (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 March 1979 (USA)
    
See more »
    
"
Real Life (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 March 1979 (USA)
    
See more »
    
"
Norma Rae (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 March 1979 (USA)
    
See more »
    
"
The Odd Angry Shot (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 1 March 1979 (USA)
    
See more »
    
"
Angels' Brigade (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: February 1979 (USA)
    
See more »
    
"
Breakthrough (1979) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: February 1979 (Austria)
    
See more »
    
"
Iskanderija... lih? (1979) ,"
Country:
Egypt
|
Algeria
","
Language:
Arabic
|
English
","
Release Date: 27 February 1980 (France)
    
See more »
    
"
The Passage (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 26 February 1979 (Turkey)
    
See more »
    
"
Repmånad eller Hur man gör pojkar av män (1979) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 23 February 1979 (Sweden)
    
See more »
    
"
Christ Stopped at Eboli (1979) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 23 February 1979 (Italy)
    
See more »
    
"
Ashanti (1979) ,"
Country:
Switzerland
|
USA
","
Language:
English
","
Release Date: 6 April 1979 (USA)
    
See more »
    
"
The Marriage of Maria Braun (1979) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: 23 March 1979 (West Germany)
    
See more »
    
"
Xiao quan guai zhao (1979) ,"
Country:
Hong Kong
|
South Korea
","
Language:
Cantonese
","
Release Date: 17 February 1979 (Hong Kong)
    
See more »
    
"
Escape to Athena (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 June 1979 (USA)
    
See more »
    
"
Coup de tête (1979) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 14 February 1979 (France)
    
See more »
    
"
Quintet (1979) ,"
Country:
USA
","
Language:
English
|
Latin
","
Release Date: 11 April 1979 (France)
    
See more »
    
"
The North Avenue Irregulars (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Hardcore (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Agatha (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Nea Marin miliardar (1979) ,"
Country:
Romania
","
Language:
Romanian
|
English
","
Release Date: 5 February 1979 (Romania)
    
See more »
    
"
The Warriors (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Murder by Decree (1979) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Tourist Trap (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 March 1979 (USA)
    
See more »
    
"
Phantasm (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 March 1979 (USA)
    
See more »
    
"
The Troops & Aliens (1979) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 31 January 1979 (France)
    
See more »
    
"
Love and Bullets (1979) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: March 1979 (UK)
    
See more »
    
"
Love on the Run (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 6 April 1979 (USA)
    
See more »
    
"
Screamers (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 26 June 1981 (USA)
    
See more »
    
"
Nosferatu the Vampyre (1979) ,"
Country:
West Germany
|
France
","
Language:
German
|
English
|
Romany
","
Release Date: 15 February 1979 (Italy)
    
See more »
    
"
Nacionalna klasa (1979) ,"
Country:
Yugoslavia
","
Language:
Serbo-Croatian
","
Release Date: 9 January 1979 (Yugoslavia)
    
See more »
    
"
Joi Baba Felunath (1979) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 5 January 1979 (India)
    
See more »
    
"
Stalker (1979) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 17 April 1980 (Netherlands)
    
See more »
    
"
Neseli Günler (1978) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1978 (Turkey)
    
See more »
    
"
Petrol krallari (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Yüz Numarali Adam (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Iyi Aile Çocugu (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Inek Saban (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Terror (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 October 1979 (USA)
    
See more »
    
"
Absolution (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 July 1988 (USA)
    
See more »
    
"
Rockers (1978) ,"
Country:
Jamaica
","
Language:
English
","
Release Date: 1978 (Jamaica)
    
See more »
    
"
The Herd (1978) ,"
Country:
Turkey
","
Language:
Kurdish
|
Turkish
","
Release Date: March 1979 (Turkey)
    
See more »
    
"
Sooteh-Delan (1978) ,"
Country:
Iran
","
Language:
Persian
","
Release Date: 1978 (Iran)
    
See more »
    
"
Solamente nero (1978) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 1978 (Italy)
    
See more »
    
"
Beauty and the Beast (1978) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: October 1983 (USA)
    
See more »
    
"
Ice Castles (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 December 1978 (USA)
    
See more »
    
"
Heroes of the East (1978) ,"
Country:
Hong Kong
","
Language:
Mandarin
|
Cantonese
|
Japanese
","
Release Date: November 1980 (USA)
    
See more »
    
"
Zan xian sheng yu zhao qian Hua (1978) ,"
Country:
Hong Kong
","
Language:
Cantonese
","
Release Date: 28 December 1978 (Hong Kong)
    
See more »
    
"
Moment by Moment (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 December 1978 (USA)
    
See more »
    
"
Brass Target (1978) ,"
Country:
USA
|
West Germany
|
Switzerland
","
Language:
English
|
German
|
Russian
","
Release Date: 2 March 1979 (UK)
    
See more »
    
"
Starcrash (1978) ,"
Country:
USA
|
Italy
","
Language:
English
|
Italian
","
Release Date: 9 March 1979 (USA)
    
See more »
    
"
Invasion of the Body Snatchers (1978) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 22 December 1978 (USA)
    
See more »
    
"
Can que (1978) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: November 1981 (USA)
    
See more »
    
"
King of the Gypsies (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 February 1979 (France)
    
See more »
    
"
California Suite (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 December 1978 (USA)
    
See more »
    
"
Rupan sansei (1978) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 16 December 1978 (Japan)
    
See more »
    
"
Every Which Way but Loose (1978) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 December 1978 (USA)
    
See more »
    
"
The Great Train Robbery (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 February 1979 (USA)
    
See more »
    
"
Superman (1978) ,"
Country:
USA
|
UK
|
Canada
|
Switzerland
","
Language:
English
","
Release Date: 15 December 1978 (USA)
    
See more »
    
"
The Deer Hunter (1978) ,"
Country:
USA
","
Language:
English
|
Russian
|
Vietnamese
|
French
|
Cantonese
","
Release Date: 23 February 1979 (USA)
    
See more »
    
"
"Co mi zrobisz, jak mnie zlapiesz (1978) ","
Country:
Poland
","
Language:
Polish
|
Hungarian
|
Bulgarian
","
Release Date: 8 December 1978 (Poland)
    
See more »
    
"
The Brink's Job (1978) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 8 December 1978 (USA)
    
See more »
    
"
Sultan (1978) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 December 1978 (Turkey)
    
See more »
    
"
Köseyi Dönen Adam (1978) ,"
Country:
Turkey
","
Language:
Turkish
|
English
","
Release Date: 1 December 1978 (Turkey)
    
See more »
    
"
Hababam Sinifi Dokuz Doguruyor (1978) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: November 1978 (Turkey)
    
See more »
    
"
Kibar Feyzo (1978) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: November 1978 (Turkey)
    
See more »
    
"
Orchestra Rehearsal (1978) ,"
Country:
Italy
|
West Germany
","
Language:
Italian
|
German
","
Release Date: 22 February 1979 (Italy)
    
See more »
    
"
